date,open,high,low,close,adj_close,volume,H-L,O-C,7_DAYS_MA,14_DAYS_MA,21_DAYS_MA,7_DAYS_STD_DEV
2021-02-02,135.73,136.31,134.61,134.99,134.99,82266419.0,1.6999999999999886,-0.7399999999999807,138.04571428571427,134.93285714285713,133.18238095238095,4.62908146807721
2021-02-03,135.76,135.77,133.61,133.94,133.94,89880937.0,2.1599999999999966,-1.8199999999999932,136.76285714285714,135.1507142857143,133.39809523809524,4.284634228985148
2021-02-04,136.3,137.4,134.59,137.39,137.39,84183061.0,2.8100000000000023,1.089999999999975,135.93857142857144,135.75642857142856,133.70190476190476,3.287914377288683
2021-02-05,137.35,137.42,135.86,136.76,136.76,75693830.0,1.5599999999999739,-0.5900000000000034,135.18142857142857,136.4435714285714,134.18571428571428,2.0021773861760863
2021-02-08,136.03,136.96,134.92,136.91,136.91,71297214.0,2.0400000000000205,0.8799999999999955,135.15571428571428,137.09214285714285,134.47095238095238,1.9745451555812
2021-02-09,136.62,137.877,135.85,136.01,136.01,75986989.0,2.0270000000000152,-0.6100000000000136,135.7342857142857,137.37642857142856,134.65952380952382,1.3884626647588447
2021-02-10,136.48,136.99,134.4,135.39,135.39,72647988.0,2.5900000000000034,-1.0900000000000034,135.91285714285715,137.2707142857143,134.96476190476193,1.2193265119966084
2021-02-11,135.9,136.39,133.77,135.13,135.13,64280029.0,2.619999999999976,-0.7700000000000102,135.93285714285713,136.9892857142857,135.26619047619047,1.2027013245985707
2021-02-12,134.35,135.53,133.6921,135.37,135.37,60145130.0,1.8378999999999905,1.0200000000000102,136.13714285714283,136.45,135.4795238095238,0.8880824715031675
2021-02-16,135.49,136.01,132.79,133.19,133.19,80576316.0,3.219999999999999,-2.3000000000000114,135.53714285714287,135.73785714285714,135.68333333333334,1.2468722774170404
2021-02-17,131.25,132.22,129.47,130.84,130.84,97372199.0,2.75,-0.4099999999999966,134.69142857142856,134.9364285714286,135.8595238095238,2.036716545254871
2021-02-18,129.2,129.995,127.41,129.71,129.71,96856748.0,2.585000000000008,0.5100000000000193,133.66285714285715,134.40928571428572,135.9490476190476,2.495868013909745
2021-02-19,130.24,130.71,128.8,129.87,129.87,87668834.0,1.9099999999999966,-0.37000000000000455,132.78571428571428,134.26,135.84619047619046,2.609826668209193
2021-02-22,128.01,129.72,125.6,126.0,126.0,102886922.0,4.1200000000000045,-2.009999999999991,131.4442857142857,133.67857142857142,135.32857142857142,3.3549657581108003
2021-02-23,123.76,126.71,118.39,125.86,125.86,158273022.0,8.319999999999993,2.0999999999999943,130.12,133.02642857142857,134.6995238095238,3.4846903257918793
2021-02-24,124.94,125.56,122.23,125.35,125.35,111039904.0,3.3299999999999983,0.4099999999999966,128.68857142857144,132.41285714285715,133.86285714285714,2.9918190039475814
2021-02-25,124.68,126.4585,120.54,120.99,120.99,144766924.0,5.9184999999999945,-3.690000000000012,126.9457142857143,131.24142857142857,132.80714285714285,3.450801149215885
2021-02-26,122.59,124.85,121.2,121.26,121.26,163424672.0,3.6499999999999915,-1.3299999999999983,125.57714285714287,130.1342857142857,131.81666666666666,3.5472793061995658
2021-03-01,123.75,127.93,122.79,127.79,127.79,116307892.0,5.140000000000001,4.040000000000006,125.30285714285715,129.48285714285714,131.37380952380954,3.2349328395179535
2021-03-02,128.41,128.72,125.01,125.12,125.12,102260945.0,3.7099999999999937,-3.289999999999992,124.62428571428572,128.70499999999998,131.04809523809524,2.541002801670331
2021-03-03,124.81,125.71,121.84,122.06,122.06,112966340.0,3.8699999999999903,-2.75,124.06142857142858,127.75285714285715,130.47285714285712,2.6206069816708903
2021-03-04,121.75,123.6,118.62,120.13,120.13,178154975.0,4.97999999999999,-1.6200000000000045,123.24285714285715,126.68142857142857,129.7652380952381,2.8500392645584918
