date,open,high,low,close,adj_close,volume,H-L,O-C,7_DAYS_MA,14_DAYS_MA,21_DAYS_MA,7_DAYS_STD_DEV
2021-02-02,1922.56,1955.76,1914.49,1927.51,1927.51,2103864.0,41.26999999999998,4.9500000000000455,1882.162857142857,1848.2835714285716,1818.4833333333333,38.9642963554607
2021-02-03,2073.0,2116.5,2018.38,2070.07,2070.07,4118170.0,98.11999999999989,-2.9299999999998363,1906.544285714286,1870.8314285714284,1834.7609523809526,81.6089202348906
2021-02-04,2068.89,2078.55,2042.59,2062.37,2062.37,1852329.0,35.960000000000264,-6.519999999999982,1927.277142857143,1893.8449999999998,1850.0680952380949,100.92768908386577
2021-02-05,2070.0,2102.51,2059.33,2098.0,2098.0,1535135.0,43.18000000000029,28.0,1965.45,1919.6885714285713,1867.34,108.59308342001613
2021-02-08,2105.91,2123.5469,2072.0,2092.91,2092.91,1242411.0,51.54689999999982,-13.0,1998.2785714285715,1941.2635714285714,1881.8952380952383,107.22508792699703
2021-02-09,2078.54,2105.13,2078.54,2083.51,2083.51,886247.0,26.590000000000146,4.970000000000255,2033.6742857142856,1955.3071428571432,1895.0523809523809,82.72336426450468
2021-02-10,2094.21,2108.37,2063.09,2095.38,2095.38,1132741.0,45.279999999999745,1.1700000000000728,2061.3928571428573,1969.8878571428572,1910.7028571428573,60.523513533799346
2021-02-11,2099.51,2102.03,2077.32,2095.89,2095.89,945650.0,24.710000000000036,-3.6200000000003456,2085.447142857143,1983.8049999999998,1927.338095238095,14.105241005005546
2021-02-12,2090.25,2108.82,2083.13,2104.11,2104.11,855865.0,25.690000000000055,13.860000000000127,2090.3100000000004,1998.4271428571428,1943.9909523809522,13.784417530908984
2021-02-16,2104.36,2152.68,2104.36,2121.9,2121.9,1133838.0,48.31999999999971,17.539999999999964,2098.8142857142857,2013.0457142857142,1962.1680952380952,11.909977409907947
2021-02-17,2100.0,2133.66,2098.92,2128.31,2128.31,1020252.0,34.73999999999978,28.309999999999945,2103.1442857142856,2034.2971428571432,1980.8404761904762,16.274607887888113
2021-02-18,2110.39,2132.735,2103.71,2117.2,2117.2,1121855.0,29.02500000000009,6.809999999999945,2106.6142857142854,2052.4464285714284,1996.3804761904764,16.31825854386745
2021-02-19,2119.27,2130.53,2097.41,2101.14,2101.14,1457612.0,33.120000000000346,-18.13000000000011,2109.132857142857,2071.4035714285715,2006.582380952381,13.225422128458893
2021-02-22,2067.0,2091.42,2062.14,2064.88,2064.88,1349856.0,29.2800000000002,-2.119999999999891,2104.775714285714,2083.0842857142857,2014.8504761904762,21.157158644404667
2021-02-23,2025.01,2082.01,2002.02,2070.86,2070.86,1667377.0,79.99000000000024,45.850000000000136,2101.2,2093.3235714285715,2022.9366666666665,24.723712639213723
2021-02-24,2041.83,2100.78,2038.13,2095.17,2095.17,1248349.0,62.65000000000009,53.340000000000146,2099.922857142857,2095.1164285714285,2032.2590476190474,24.779181257847807
2021-02-25,2067.45,2094.88,2021.29,2031.36,2031.36,1761201.0,73.59000000000015,-36.08999999999992,2086.9885714285715,2092.9014285714284,2037.6933333333332,33.493400558201955
